,State,Station,Year,Month,Date,Day,Wind_Mx_Dir,Wind_Mx_Tim,Wind_Dir_9am,Wind_Dir_3pm,Rain,Min_Temp,Max_Temp,Rain_mm,Wind_Mx_Spd,Temp_9am,RH_9am,Wind_Spd_9am,MSLP_9am,Temp_3pm,RH_3pm,Wind_Spd_3pm,MSLP_3pm,Min_Temp_cat,Max_Temp_cat,Temp_9am_cat,Temp_3pm_cat
9266,7,7,0.0,4.0,0.0,2.0,7,16.0,10,14,0,0.7287671232876712,0.6782407407407408,0.0,0.15315315315315314,0.710843373493976,0.38541666666666663,0.21153846153846154,0.46996466431095385,0.644943820224719,0.38775510204081626,0.28813559322033894,0.41187050359712174,5,6,5,5
6840,4,20,1.0,3.0,28.0,2.0,15,7.0,16,14,1,0.5315068493150685,0.2199074074074074,0.03061224489795918,0.21621621621621623,0.3421686746987952,0.9166666666666666,0.28846153846153844,0.41696113074205243,0.22022471910112357,0.8877551020408162,0.1864406779661017,0.40287769784172767,3,1,2,1
3713,6,1,0.0,6.0,11.0,4.0,6,19.0,7,8,1,0.38904109589041097,0.1574074074074074,0.008634222919937205,0.4054054054054054,0.2530120481927711,0.90625,0.326923076923077,0.5053003533568905,0.19101123595505615,0.836734693877551,0.4067796610169491,0.44784172661870514,2,1,2,1
11612,2,22,0.0,11.0,9.0,1.0,5,1.0,7,1,0,0.9205479452054794,0.8495370370370371,0.0,0.4054054054054054,0.8506024096385544,0.21874999999999997,0.1730769230769231,0.4522968197879855,0.8539325842696629,0.08163265306122448,0.30508474576271183,0.3920863309352498,6,7,6,7
5065,3,23,1.0,5.0,3.0,3.0,9,13.0,12,10,0,0.46849315068493147,0.45370370370370383,0.0,0.2882882882882883,0.45301204819277113,0.40624999999999994,0.1346153846153846,0.6749116607773864,0.46741573033707867,0.4897959183673469,0.3728813559322034,0.6294964028776988,3,4,3,4
709,0,24,1.0,1.0,12.0,3.0,1,14.0,9,2,1,0.6767123287671233,0.46759259259259267,0.0007849293563579277,0.2702702702702703,0.5060240963855422,0.78125,0.25,0.48939929328622256,0.4786516853932585,0.6326530612244897,0.22033898305084745,0.45503597122302253,4,4,4,4
9914,5,25,0.0,11.0,12.0,4.0,6,13.0,7,8,0,0.4520547945205479,0.28935185185185186,0.0,0.2702702702702703,0.327710843373494,0.59375,0.25,0.5445229681978816,0.301123595505618,0.6530612244897959,0.3728813559322034,0.5241007194244602,3,2,2,2
5264,3,23,0.0,11.0,24.0,2.0,5,12.0,8,5,0,0.8136986301369863,0.6597222222222224,0.0,0.21621621621621623,0.7204819277108434,0.5729166666666666,0.3846153846153847,0.45936395759717286,0.6764044943820223,0.43877551020408156,0.2542372881355932,0.3687050359712245,5,5,5,6
6104,4,0,0.0,11.0,18.0,3.0,15,16.0,3,1,0,0.7972602739726027,0.9143518518518521,0.0,0.13513513513513514,0.8843373493975905,0.09375,0.0,0.4946996466431095,0.8853932584269663,0.08163265306122448,0.11864406779661019,0.4514388489208656,5,8,7,7
9504,5,13,0.0,11.0,27.0,5.0,9,12.0,7,3,0,0.5698630136986301,0.5046296296296298,0.0,0.2882882882882883,0.4963855421686747,0.44791666666666663,0.25,0.457597173144876,0.41348314606741576,0.4897959183673469,0.30508474576271183,0.4388489208633075,3,4,3,3
6741,4,16,0.0,4.0,18.0,6.0,5,12.0,5,15,0,0.44931506849315067,0.39583333333333337,0.0,0.35135135135135137,0.3855421686746988,0.6041666666666666,0.34615384615384615,0.7049469964664326,0.32359550561797756,0.673469387755102,0.0847457627118644,0.6564748201438846,3,3,3,2
11731,2,22,0.0,7.0,6.0,2.0,4,11.0,5,7,0,0.695890410958904,0.5625000000000001,0.0,0.35135135135135137,0.5012048192771085,0.23958333333333334,0.3846153846153847,0.5494699646643113,0.5640449438202246,0.16326530612244897,0.1864406779661017,0.4748201438848909,4,5,4,5
10169,5,11,1.0,5.0,21.0,0.0,10,11.0,11,11,1,0.3698630136986301,0.1666666666666667,0.0015698587127158554,0.09009009009009009,0.22891566265060245,0.9895833333333334,0.21153846153846154,0.3674911660777376,0.20224719101123595,0.846938775510204,0.0,0.3597122302158269,2,1,1,1
3503,6,1,1.0,1.0,14.0,5.0,13,16.0,0,15,1,0.6931506849315068,0.6712962962962965,0.004709576138147566,0.2702702702702703,0.5686746987951807,0.8020833333333334,0.2298076923076923,0.39045936395759995,0.6629213483146067,0.28571428571428564,0.30508474576271183,0.35611510791366996,4,6,4,5
3481,6,1,1.0,2.0,23.0,1.0,1,12.0,0,11,0,0.44931506849315067,0.4120370370370371,0.0,0.09909909909909909,0.3132530120481928,0.7291666666666666,0.2298076923076923,0.6749116607773864,0.4202247191011235,0.4897959183673469,0.11864406779661019,0.6330935251798557,3,3,2,3
4301,3,6,1.0,3.0,28.0,2.0,4,14.0,16,2,1,0.6547945205479452,0.5092592592592593,0.0070643642072213495,0.11711711711711711,0.5542168674698796,0.6875,0.0,0.6289752650176688,0.49438202247191004,0.4999999999999999,0.15254237288135594,0.577338129496404,4,4,4,4
4554,3,6,0.0,6.0,7.0,0.0,11,3.0,16,0,1,0.5534246575342465,0.337962962962963,0.0007849293563579277,0.03603603603603603,0.40240963855421685,0.8125,0.038461538461538464,0.7597173144876344,0.3438202247191011,0.6632653061224489,0.3047457627118644,0.6870503597122308,3,3,3,3
