Rain_mm,RH_9am,RH_3pm,Temp_3pm,Max_Temp,Temp_9am
0.0,0.65625,0.2551020408163265,0.5280898876404494,0.5115740740740742,0.4275862068965517
0.0,0.90625,0.8775510204081631,0.2696629213483146,0.25,0.3908045977011494
0.0,0.65625,0.683673469387755,0.3258426966292134,0.3495370370370371,0.471264367816092
0.0,0.8020833333333334,0.3163265306122448,0.4022471910112359,0.3981481481481481,0.3770114942528735
0.0054552590266875,0.4791666666666666,0.2653061224489795,0.2337078651685393,0.212962962962963,0.2459770114942528
0.0,0.59375,0.4183673469387755,0.4741573033707865,0.4814814814814815,0.496551724137931
0.086342229199372,1.0,0.7040816326530611,0.3573033707865168,0.3356481481481481,0.4091954022988506
0.0,0.7916666666666666,0.346938775510204,0.4494382022471909,0.4467592592592593,0.3908045977011494
0.0007849293563579,0.8541666666666666,0.6428571428571428,0.2112359550561797,0.2083333333333333,0.2735632183908046
0.0118524332810047,0.65625,0.673469387755102,0.4404494382022472,0.4467592592592593,0.5862068965517242
0.0,0.9166666666666666,0.673469387755102,0.2921348314606741,0.2870370370370371,0.3448275862068966
0.0,0.625,0.173469387755102,0.6292134831460673,0.6365740740740743,0.4114942528735632
0.0,0.65625,0.510204081632653,0.4157303370786516,0.4027777777777779,0.4505747126436781
0.0,0.2708333333333333,0.2653061224489795,0.6584269662921348,0.738425925925926,0.774712643678161
0.0,0.8645833333333334,0.7040816326530611,0.2449438202247191,0.224537037037037,0.2505747126436781
0.0,0.4895833333333333,0.0918367346938775,0.5191011235955055,0.539351851851852,0.4413793103448276
0.0,0.6666666666666666,0.4285714285714285,0.5146067415730337,0.5162037037037038,0.5126436781609196
0.0,0.3854166666666666,0.1938775510204081,0.3685393258426966,0.3449074074074074,0.4137931034482759
0.0,0.3020833333333333,0.2346938775510204,0.5707865168539326,0.564814814814815,0.5908045977011495
0.0,0.59375,0.5408163265306122,0.5123595505617977,0.5162037037037038,0.6275862068965518
